Id,Category
0,Kebab
1,Bread
2,Bread
3,Bread
4,Kebab
5,Bread
6,Bread
7,Bread
8,Bread
9,Bread
10,Bread
11,Bread
12,Bread
13,Bread
14,Bread
15,Bread
16,Bread
17,Bread
18,Bread
19,Kebab
20,Bread
21,Bread
22,Bread
23,Bread
24,Hamburger
25,Hamburger
26,Hamburger
27,Hamburger
28,Hamburger
29,Hamburger
30,Hamburger
31,Hamburger
32,Hamburger
33,Hamburger
34,Hamburger
35,Hamburger
36,Hamburger
37,Hamburger
38,Hamburger
39,Hamburger
40,Hamburger
41,Hamburger
42,Hamburger
43,Hamburger
44,Hamburger
45,Hamburger
46,Hamburger
47,Hamburger
48,Bread
49,Kebab
50,Kebab
51,Kebab
52,Kebab
53,Kebab
54,Kebab
55,Kebab
56,Kebab
57,Kebab
58,Kebab
59,Kebab
60,Kebab
61,Kebab
62,Kebab
63,Kebab
64,Kebab
65,Bread
66,Kebab
67,Kebab
68,Kebab
69,Kebab
70,Kebab
71,Kebab
72,Kebab
73,Noodle
74,Bread
75,Noodle
76,Noodle
77,Rice
78,Noodle
79,Noodle
80,Rice
81,Kebab
82,Noodle
83,Rice
84,Noodle
85,Noodle
86,Noodle
87,Noodle
88,Noodle
89,Noodle
90,Noodle
91,Noodle
92,Noodle
93,Noodle
94,Noodle
95,Noodle
96,Rice
97,Rice
98,Rice
99,Kebab
100,Rice
101,Rice
102,Rice
103,Rice
104,Rice
105,Rice
106,Rice
107,Rice
108,Rice
109,Rice
110,Rice
111,Rice
112,Rice
113,Bread
114,Rice
115,Hamburger
116,Rice
117,Rice
118,Rice
119,Rice
